ID,Description,ObjCount,ObjAttr,OORel,OARel,Difficulty,Category,SceneEvalID,is_house
60,"In a cheerful playroom, a spacious foam play mat lies in the middle, with a small climbing structure positioned nearby for active play, and a cozy bench situated against the wall.","eq,1,play_mat; eq,1,climbing_structure; eq,1,bench","eq,1,play_mat,form; eq,1,play_mat,spacious; eq,1,climbing_structure,small; eq,1,bench,cozy","eq,1,next,0,play_mat,climbing_structure","eq,1,middle,play_mat,room; eq,1,against,bench,wall",easy,SceneEval-100,60,FALSE
61,"This playroom features a large colorful rug at its center, with a play kitchen set against one wall and a rocking horse placed on the rug.","eq,1,rug; eq,1,play_kitchen_set; eq,1,rocking_horse","eq,1,rug,large; eq,1,rug,colorful","eq,1,on,0,rug,rocking_horse","eq,1,middle,rug,room; eq,1,against,play_kitchen_set,wall",easy,SceneEval-100,61,FALSE
62,"A compact gaming room is designed with an adjustable computer desk and chair for PC gaming, positioned next to a large TV and a comfortable couch.","eq,1,computer_desk; eq,1,chair; eq,1,TV; eq,1,couch","eq,1,computer_desk,adjustable; eq,1,TV,large; eq,1,couch,comfortable","eq,1,next,0,TV,computer_desk; eq,1,next,0,TV,chair; eq,1,next,0,couch,computer_desk; eq,1,next,0,couch,chair",,easy,SceneEval-100,62,FALSE
63,"A minimalist gaming room features a wall-mounted screen paired with a low-profile media console below, while a compact gaming desk with an ergonomic chair is positioned nearby.","eq,1,screen; eq,1,media_console; eq,1,gaming_desk; eq,1,chair","eq,1,screen,wall_mounted; eq,1,media_console,low_profile; eq,1,gaming_desk,compact; eq,1,chair,ergonomic","eq,1,above,0,media_console,screen; eq,1,near,0,media_console,gaming_desk; eq,1,next,0,gaming_desk,chair","eq,1,on,screen,wall",easy,SceneEval-100,63,FALSE
64,A kitchen featuring a bistro table with two chairs in a corner and a refrigerator positioned nearby.,"eq,1,bistro_table; eq,2,chair; eq,1,refrigerator",,"eq,2,next,0,bistro_table,chair; eq,1,near,0,bistro_table,refrigerator","eq,1,corner,bistro_table,room",easy,SceneEval-100,64,FALSE
65,"A stylish kitchen with an elegant pendant light hanging over a marble-topped kitchen counter. A single cabinet is positioned against the wall, providing ample storage space.","eq,1,pendant_light; eq,1,kitchen_counter; eq,1,cabinet","eq,1,pendant_light,elegant; eq,1,kitchen_counter,marble_topped","eq,1,above,0,kitchen_counter,pendant_light","eq,1,hang,pendant_light,ceiling; eq,1,against,cabinet,wall",easy,SceneEval-100,65,FALSE
66,A bathroom with a freestanding bathtub positioned beside a frosted window and a double vanity located across from it.,"eq,1,bathtub; eq,1,vanity","eq,1,bathtub,freestanding; eq,1,vanity,double","eq,1,across,0,bathtub,vanity","eq,1,beside,bathtub,window",easy,SceneEval-100,66,FALSE
67,"In a classic bathroom, a double-sink vanity is set against one wall with two round mirrors hanging above, while a toilet is positioned in the corner.","eq,1,vanity; eq,2,mirror; eq,1,toilet","eq,1,vanity,double_sink; eq,2,mirror,round","eq,2,above,0,vanity,mirror","eq,1,against,vanity,wall; eq,2,on,mirror,wall; eq,1,corner,toilet,room",easy,SceneEval-100,67,FALSE
68,"In this basement, a pool table occupies the center of the room, with two bar stools lined up at a nearby bar table, allowing for social gatherings and entertainment.","eq,1,pool_table; eq,2,bar_stool; eq,1,bar_table",,"eq,2,next_to,0,bar_table,bar_stool","eq,1,middle,pool_table,room",easy,SceneEval-100,68,FALSE
69,"A gym-purpose basement featuring a treadmill and an exercise bike positioned against one wall, with a tall mirror mounted on a wall directly facing the exercise bike.","eq,1,treadmill; eq,1,exercise_bike; eq,1,mirror","eq,1,mirror,tall","eq,1,face,0,exercise_bike,mirror","eq,1,against,treadmill,wall; eq,1,against,exercise_bike,wall; eq,1,on,mirror,wall",easy,SceneEval-100,69,FALSE
70,"This is a small, plain bedroom. Upon entering through the door, a white desk with a black rolling chair in front of it is positioned against the wall to the right. A queen bed is centered against a wall, with two modern nightstands beside it, one of which holds a stylish lamp.","eq,1,desk; eq,1,rolling_chair; eq,1,bed; eq,2,nightstand; eq,1,lamp","eq,1,desk,white; eq,1,rolling_chair,black; eq,1,bed,queen; eq,2,nightstand,modern; eq,1,lamp,stylish","eq,1,front,0,desk,rolling_chair; eq,1,left,0,bed,nightstand; eq,1,right,0,bed,nightstand; eq,1,on,0,nightstand,lamp","eq,1,against,desk,wall; eq,1,against,bed,wall",medium,SceneEval-100,70,FALSE
71,"A large bedroom with a lofted twin bed in one corner, freeing up the floor space below for a comfy armchair and a small side table. A bookcase stands against the wall next to the armchair, while a small desk, equipped with a pen and some papers along with a lamp for studying, is positioned near the window.","eq,1,bed; eq,1,armchair; eq,1,side_table; eq,1,bookcase; eq,1,desk; eq,1,pen; gt,1,paper; eq,1,lamp","eq,1,bed,lofted; eq,1,bed,twin; eq,1,armchair,comfy; eq,1,side_table,small; eq,1,desk,small","eq,1,beneath,0,bed,armchair; eq,1,beneath,0,bed,side_table; eq,1,next,0,armchair,bookcase; eq,1,on,0,desk,pen; gt,1,on,0,desk,paper; eq,1,on,0,desk,lamp","eq,1,corner,bed,room; eq,1,against,bookcase,wall; eq,1,near,desk,window",medium,SceneEval-100,71,FALSE
72,"A bedroom with a modern queen bed against the main wall. Two bedside tables stand on either side, while a small writing desk is positioned in the corner next to the window, equipped with a cute desk lamp. A wicker basket lies at the foot of the bed.","eq,1,bed; eq,2,bedside_table; eq,1,writing_desk; eq,1,desk_lamp; eq,1,basket","eq,1,bed,modern; eq,1,bed,queen; eq,1,writing_desk,small; eq,1,desk_lamp,cute; eq,1,basket,wicker","eq,1,left,0,bed,bedside_table; eq,1,right,0,bed,bedside_table; eq,1,at_the_foot,0,bed,basket; eq,1,next,0,bed,basket","eq,1,against,bed,wall; eq,1,corner,writing_desk,room; eq,1,next,writing_desk,window",medium,SceneEval-100,72,FALSE
73,"A bedroom featuring a queen-sized bed against one wall, with a whimsical painting hung above it. A small bedside table sits to the left of the bed, holding a cute alarm clock, while a dresser stands across from the door.","eq,1,bed; eq,1,painting; eq,1,bedside_table; eq,1,alarm_clock; eq,1,dresser","eq,1,bed,queen-sized; eq,1,painting,whimsical; eq,1,bedside_table,small; eq,1,alarm_clock,cute","eq,1,above,0,bed,painting; eq,1,left,0,bed,bedside_table; eq,1,on,0,bedside_table,alarm_clock","eq,1,against,bed,wall; eq,1,across,dresser,door",medium,SceneEval-100,73,FALSE
74,"A living room with a sectional sofa, a wooden coffee table in the middle, and a retro record player in the corner with some records nearby.","eq,1,sofa; eq,1,coffee_table; eq,1,record_player; ge,2,record","eq,1,sofa,sectional; eq,1,coffee_table,wooden; eq,1,record_player,retro","ge,2,near,0,record_player,record","eq,1,middle,coffee_table,room; eq,1,corner,record_player,room",medium,SceneEval-100,74,FALSE
75,"A living room with a large wall-mounted screen, several chairs arranged in front of it, and a collection of board games on a shelf in the corner.","eq,1,screen; ge,2,chair; ge,2,board_game; eq,1,shelf","eq,1,screen,wall_mounted","ge,2,front,0,screen,chair; ge,2,inside,0,shelf,board_game","eq,1,on,screen,wall; eq,1,corner,shelf,room",medium,SceneEval-100,75,FALSE
76,"A cozy living room with an L-shaped oversized sofa against one wall, adorned with three colorful pillows. In front of the sofa, a wooden coffee table holds a small vase with fresh flowers.","eq,1,sofa; eq,3,pillow; eq,1,coffee_table; eq,1,vase; ge,2,flower","eq,1,sofa,oversized; eq,1,sofa,l_shaped; eq,3,pillow,colorful; eq,1,coffee_table,wooden; eq,1,vase,small; ge,2,flower,fresh","eq,3,on,0,sofa,pillow; eq,1,front,0,sofa,coffee_table; eq,1,on,0,coffee_table,vase; ge,2,within,0,vase,flower","eq,1,against,sofa,wall",medium,SceneEval-100,76,FALSE
77,"A dining room featuring a simple rectangular table, a corner shelf filled with cookbooks, and a pendant light hanging from the ceiling.","eq,1,table; eq,1,shelf; ge,2,cookbook; eq,1,pendant_light","eq,1,table,rectangular","ge,2,inside,0,shelf,cookbook","eq,1,corner,shelf,room; eq,1,hang,pendant_light,ceiling",medium,SceneEval-100,77,FALSE
78,"A simple dining room with a picnic table, illuminated by string lights overhead, and a small cooler holding utensils and napkins.","eq,1,picnic_table; ge,2,string_light; eq,1,cooler; ge,2,utensil; ge,2,napkin","eq,1,cooler,small","ge,2,above,0,picnic_table,string_light; ge,2,within,0,cooler,utensil; ge,2,within,0,cooler,napkin","ge,2,hang,string_light,ceiling",medium,SceneEval-100,78,FALSE
79,"A dining room with a round wooden table in the middle of the room, surrounded by four wooden chairs, and a large vintage map displayed on the wall.","eq,1,table; eq,4,chair; eq,1,map","eq,1,table,round; eq,1,table,wooden; eq,4,chair,wooden; eq,1,map,large; eq,1,map,vintage","eq,1,surround,0,table,chair:0,chair:1,chair:2,chair:3","eq,1,middle,table,room; eq,1,on,map,wall",medium,SceneEval-100,79,FALSE
80,"A bright playroom featuring a low table with board games in the center, surrounded by three small chairs for group activities, while an adjacent puppet theater is positioned against the wall.","eq,1,table; ge,2,board_game; eq,3,chair; eq,1,puppet_theater","eq,1,table,low; eq,3,chair,small","ge,2,on,0,table,board_game; eq,1,surround,0,table,chair:0,chair:1,chair:2; eq,1,adjacent,0,table,puppet_theater","eq,1,against,puppet_theater,wall",medium,SceneEval-100,80,FALSE
81,"This engaging playroom features a small painting stand positioned next to the window, a bookshelf full of toys standing against the nearby wall, and a cozy reading chair set across from the door.","eq,1,painting_stand; eq,1,bookshelf; ge,2,toy; eq,1,reading_chair","eq,1,painting_stand,small; eq,1,reading_chair,cozy","eq,1,nearby,0,painting_stand,bookshelf; ge,2,within,0,bookshelf,toy","eq,1,next,painting_stand,window; eq,1,against,bookshelf,wall; eq,1,across,reading_chair,door",medium,SceneEval-100,81,FALSE
82,"A tech-styled gaming room featuring a glass gaming desk with dual monitors and a powerful gaming PC, with an ergonomic chair positioned directly in front.","eq,1,gaming_desk; eq,2,monitor; eq,1,gaming_PC; eq,1,chair","eq,1,gaming_desk,glass; eq,1,gaming_PC,powerful; eq,1,chair,ergonomic","eq,2,on,0,gaming_desk,monitor; eq,1,on,0,gaming_desk,gaming_PC; eq,1,front,0,gaming_desk,chair",,medium,SceneEval-100,82,FALSE
83,"A welcoming gaming room featuring a U-shaped sofa with a coffee table in front, facing a large TV on the wall. In the corner, there is a mini arcade machine and a PlayStation.","eq,1,sofa; eq,1,coffee_table; eq,1,TV; eq,1,arcade_machine; eq,1,PlayStation","eq,1,sofa,u_shape; eq,1,TV,large; eq,1,arcade_machine,mini","eq,1,front,0,sofa,coffee_table; eq,1,face,0,TV,sofa","eq,1,on,TV,wall; eq,1,corner,arcade_machine,room; eq,1,corner,PlayStation,room",medium,SceneEval-100,83,FALSE
84,"In this modern kitchen, a large bar table with four high-backed stools stands in the center, facilitating social gatherings, while a stainless steel fridge is positioned against the far wall, next to a sleek pantry shelf. A small bowl of fruit sits on the table's surface.","eq,1,bar_table; eq,4,stool; eq,1,fridge; eq,1,pantry_shelf; eq,1,bowl_of_fruit","eq,1,bar_table,large; eq,4,stool,high-backed; eq,1,fridge,stainless_steel; eq,1,pantry_shelf,sleek; eq,1,bowl_of_fruit,small","eq,4,next,0,bar_table,stool; eq,1,next,0,pantry_shelf,fridge; eq,1,on,0,bar_table,bowl_of_fruit","eq,1,middle,bar_table,room; eq,1,against,fridge,wall",medium,SceneEval-100,84,FALSE
85,"This cozy kitchen features a rustic wooden dining table positioned against the window, surrounded by four chairs. A sideboard against the wall is equipped with a coffee maker and a small herb planter.","eq,1,dining_table; eq,4,chair; eq,1,sideboard; eq,1,coffee_maker; eq,1,herb_planter","eq,1,dining_table,rustic; eq,1,dining_table,wooden; eq,1,herb_planter,small","eq,1,surround,0,dining_table,chair:0,chair:1,chair:2,chair:3; eq,1,on,0,sideboard,coffee_maker; eq,1,on,0,sideboard,herb_planter","eq,1,against,dining_table,window; eq,1,against,sideboard,wall",medium,SceneEval-100,85,FALSE
86,"In this bathroom, a wide vanity sits against the wall, paired with a tall mirror mounted above. Nearby, a stylish laundry hamper is positioned next to the door, while a small basket containing bath essentials rests beside the tub.","eq,1,vanity; eq,1,mirror; eq,1,laundry_hamper; eq,1,basket; ge,2,bath_essential; eq,1,tub","eq,1,vanity,wide; eq,1,mirror,tall; eq,1,laundry_hamper,stylish; eq,1,basket,small","eq,1,above,0,vanity,mirror; eq,1,near,0,vanity,laundry_hamper; ge,2,within,0,basket,bath_essential; eq,1,beside,0,tub,basket","eq,1,against,vanity,wall; eq,1,next,laundry_hamper,door",medium,SceneEval-100,86,FALSE
87,"A bright bathroom features a spacious bathtub positioned beside a large window, while a stylish shelving unit stands against the wall, displaying towels and small decorative items. The toilet is placed across from the tub, with a small basket beside it.","eq,1,bathtub; eq,1,shelving_unit; ge,2,towel; ge,2,decorative_item; eq,1,toilet; eq,1,basket","eq,1,bathtub,spacious; eq,1,shelving_unit,stylish; ge,2,decorative_item,small; eq,1,basket,small","ge,2,on,0,shelving_unit,towel; ge,2,on,0,shelving_unit,decorative_item; eq,1,across,0,bathtub,toilet; eq,1,beside,0,toilet,basket","eq,1,beside,bathtub,window; eq,1,against,shelving_unit,wall",medium,SceneEval-100,87,FALSE
88,"This versatile basement features a large sofa and an area rug in the center, creating a cozy movie area, while a small treadmill is positioned in the corner for quick exercise sessions. A mini chalkboard hangs on the wall next to a wall clock.","eq,1,sofa; eq,1,area_rug; eq,1,treadmill; eq,1,chalkboard; eq,1,wall_clock","eq,1,sofa,large; eq,1,treadmill,small; eq,1,chalkboard,mini","eq,1,on,0,area_rug,sofa; eq,1,next,0,wall_clock,chalkboard","eq,1,middle,sofa,room; eq,1,middle,area_rug,room; eq,1,corner,treadmill,room; eq,1,on,chalkboard,wall; eq,1,on,wall_clock,wall",medium,SceneEval-100,88,FALSE
89,"This entertaining basement layout features a large gaming setup with two monitors on a desk against one wall, while a comfy bean bag chair is positioned nearby for casual seating. Across from the gaming area, a small cabinet with a mini fridge and a popcorn machine on top completes the setup.","eq,2,monitor; eq,1,desk; eq,1,bean_bag_chair; eq,1,cabinet; eq,1,fridge; eq,1,popcorn_machine","eq,1,bean_bag_chair,comfy; eq,1,cabinet,small; eq,1,fridge,mini","eq,2,on,0,desk,monitor; eq,1,near,0,desk,bean_bag_chair; eq,1,across,0,desk,cabinet; eq,1,across,0,bean_bag_chair,cabinet; eq,1,on,0,cabinet,fridge; eq,1,on,0,cabinet,popcorn_machine","eq,1,against,desk,wall",medium,SceneEval-100,89,FALSE
90,"A welcoming bedroom with a full bed placed against the wall, flanked by two nightstands topped with a bedside clock and a decorative candle. A reading chair sits in the corner next to a tall bookshelf filled with novels.","eq,1,bed; eq,2,nightstand; eq,1,bedside_clock; eq,1,candle; eq,1,reading_chair; eq,1,bookshelf; ge,2,novel","eq,1,bed,full; eq,1,candle,decorative; eq,1,bookshelf,tall","eq,1,left,0,bed,nightstand; eq,1,right,0,bed,nightstand; eq,1,on,0,nightstand,bedside_clock; eq,1,on,0,nightstand,candle; eq,1,next,0,bookshelf,reading_chair; ge,2,within,0,bookshelf,novel","eq,1,against,bed,wall; eq,1,corner,reading_chair,room",hard,SceneEval-100,90,FALSE
91,"A bedroom featuring a vintage double bed dressed in soft linens, with a painting hanging on the wall above it. On either side of the bed are wooden nightstands, each with a small decorative vase. A tall chest of drawers stands against the opposite wall. A small round table in the corner holds a lamp, colorful cobblestones, and photo frames.","eq,1,bed; eq,1,painting; eq,2,nightstand; eq,2,vase; eq,1,chest_of_drawers; eq,1,table; eq,1,lamp; ge,2,cobblestone; ge,2,photo_frame","eq,1,bed,vintage; eq,1,bed,double; eq,1,bed,dressed_in_soft_linens; eq,1,painting,lovely; eq,2,nightstand,wooden; eq,2,vase,small; eq,2,vase,decorative; eq,1,table,small; eq,1,table,round; ge,2,cobblestone,colorful","eq,1,above,0,bed,painting; eq,1,left,0,bed,nightstand; eq,1,right,0,bed,nightstand; eq,2,on,0,nightstand,vase; eq,1,on,0,table,lamp; ge,2,on,0,table,cobblestone; ge,2,on,0,table,photo_frame","eq,1,on,painting,wall; eq,1,against,chest_of_drawers,wall; eq,1,corner,table,room",hard,SceneEval-100,91,FALSE
92,"A living room featuring a comfortable recliner chair placed next to a tall bookshelf filled with books and small sculptures. Across from the chair, a table next to a large window holds a collection of candles. In the center of the room, a round coffee table is surrounded by a simple sofa and two cube ottomans.","eq,1,recliner_chair; eq,1,bookshelf; ge,2,book; ge,2,sculpture; eq,1,table; ge,2,candle; eq,1,coffee_table; eq,1,sofa; eq,2,ottoman","eq,1,recliner_chair,comfortable; eq,1,bookshelf,tall; ge,2,sculpture,small; eq,1,coffee_table,round; eq,1,sofa,simple; eq,2,ottoman,cube","eq,1,next,0,bookshelf,recliner_chair; ge,2,within,0,bookshelf,book; ge,2,within,0,bookshelf,sculpture; eq,1,across,0,recliner_chair,table; ge,2,on,0,table,candle; eq,1,surround,0,coffee_table,sofa,ottoman:0,ottoman:1","eq,1,next,table,window; eq,1,middle,coffee_table,room",hard,SceneEval-100,92,FALSE
93,"A living room with a comfortable loveseat against the wall, adorned with plush cushions. Next to the loveseat, a small table holds a cup of tea and a remote control. A mid-century style coffee table sits in front of the loveseat with art magazines spread out. A large bookshelf containing books and newspapers lines the wall across from the door.","eq,1,loveseat; ge,2,cushion; eq,1,table; eq,1,cup_of_tea; eq,1,remote_control; eq,1,coffee_table; ge,2,art_magazine; eq,1,bookshelf; ge,2,book; ge,2,newspaper","eq,1,loveseat,comfortable; ge,2,cushion,plush; eq,1,table,small; eq,1,coffee_table,mid-century_style; eq,1,bookshelf,large","ge,2,on,0,loveseat,cushion; eq,1,next,0,loveseat,table; eq,1,on,0,table,cup_of_tea; eq,1,on,0,table,remote_control; eq,1,front,0,loveseat,coffee_table; ge,2,on,0,coffee_table,art_magazine; ge,2,within,0,bookshelf,book; ge,2,within,0,bookshelf,newspaper","eq,1,against,loveseat,wall; eq,1,against,bookshelf,wall; eq,1,across,bookshelf,door",hard,SceneEval-100,93,FALSE
94,"A dining room with a circular table surrounded by six vintage chairs, and an old wooden ladder against the wall displaying plants and decorative jars.","eq,1,table; eq,6,chair; eq,1,ladder; ge,2,plant; ge,2,jar","eq,1,table,circular; eq,6,chair,vintage; eq,1,ladder,wooden; ge,2,jar,decorative","eq,1,surround,0,table,chair:0,chair:1,chair:2,chair:3,chair:4,chair:5; ge,2,on,0,ladder,plant; ge,2,on,0,ladder,jar","eq,1,against,ladder,wall",hard,SceneEval-100,94,FALSE
95,"In this playroom, a large toy chest sits against the wall, overflowing with colorful building blocks, while a small craft table nearby is equipped with papers, crayons, and glue sticks for hands-on projects.","eq,1,toy_chest; ge,2,building_block; eq,1,craft_table; ge,2,paper; ge,2,crayon; ge,2,glue_stick","eq,1,toy_chest,large; ge,2,building_block,colorful; eq,1,craft_table,small","ge,2,within,0,toy_chest,building_block; eq,1,nearby,0,toy_chest,craft_table; ge,2,on,0,craft_table,paper; ge,2,on,0,craft_table,crayon; ge,2,on,0,craft_table,glue_stick","eq,1,against,toy_chest,wall; ",hard,SceneEval-100,95,FALSE
96,"This gaming room features powerful speakers positioned in every corner to create an immersive audio experience, with a large screen mounted opposite a plush sofa. A small table beside the sofa holds various game controllers.","eq,4,speaker; eq,1,screen; eq,1,sofa; eq,1,table; ge,2,game_controller","eq,4,speaker,powerful; eq,1,screen,large; eq,1,sofa,plush; eq,1,table,small","eq,1,face,0,sofa,screen; eq,1,beside,0,sofa,table; ge,2,on,0,table,game_controller","eq,4,corner,speaker,room; eq,1,on,screen,wall",hard,SceneEval-100,96,FALSE
100,"A pet store with aquariums along one wall, exactly two shelf units where one displays pet food bags and the other displays pet toys, pet beds on the floor, and a checkout counter near the entrance.","ge,2,aquarium; eq,2,shelf_unit; ge,2,pet_food_bag; ge,2,pet_toy; ge,2,pet_bed; eq,1,checkout_counter",,"ge,2,on,0,shelf_unit,pet_food_bag; ge,2,on,1,shelf_unit,pet_toy","ge,2,against,aquarium,wall; eq,1,near,checkout_counter,door",medium,type_diversity,,FALSE
101,"A bookstore with at least four tall bookshelves, each containing at least five books. A central display table showcases featured titles, and two comfortable reading chairs sit in one corner.","ge,4,bookshelf; ge,20,book; eq,1,display_table; eq,2,reading_chair","ge,4,bookshelf,tall; eq,2,reading_chair,comfortable","ge,20,within,0,bookshelf,book; ge,2,on,0,display_table,book","eq,1,middle,display_table,room; eq,2,corner,reading_chair,room",medium,type_diversity,,FALSE
102,"A small grocery store with two refrigerated display cases along one wall. Two tables near the entrance hold produce bins, each containing at least three fruits. At least four shopping baskets are stacked by the door.","eq,2,refrigerated_display_case; eq,2,table; eq,2,produce_bin; ge,6,fruit; ge,4,shopping_basket",,"eq,2,on,0,table,produce_bin; ge,6,within,0,produce_bin,fruit","eq,2,against,refrigerated_display_case,wall; eq,2,near,table,door; ge,4,near,shopping_basket,door",medium,type_diversity,,FALSE
103,"A pharmacy with a pharmacy counter in the back of the room. Two shelves stand against the walls, each holding at least four medicine bottles. Three waiting chairs are arranged near the counter.","eq,1,pharmacy_counter; eq,2,shelf; ge,8,medicine_bottle; eq,3,waiting_chair",,"ge,8,on,0,shelf,medicine_bottle; ge,3,near,0,pharmacy_counter,waiting_chair","eq,2,against,shelf,wall",easy,type_diversity,,FALSE
104,"A toy store with two large toy bins in the middle of the room, each containing at least five stuffed animals. Three shelves along the walls display multiple board games each, and a rocking horse sits in one corner.","eq,2,toy_bin; ge,10,stuffed_animal; eq,3,shelf; ge,6,board_game; eq,1,rocking_horse","eq,2,toy_bin,large","ge,10,within,0,toy_bin,stuffed_animal; ge,6,on,0,shelf,board_game","eq,2,middle,toy_bin,room; eq,3,against,shelf,wall; eq,1,corner,rocking_horse,room",medium,type_diversity,,FALSE
105,"An electronics store with two display tables in the center, one showcasing three laptops and the other holding four tablets. Two large televisions are mounted on the wall, and a headphone display stand holds headphones.","eq,2,display_table; eq,3,laptop; eq,4,tablet; eq,2,television; eq,1,display_stand; ge,2,headphones","eq,2,television,large","eq,3,on,0,display_table,laptop; eq,4,on,1,display_table,tablet; ge,2,on,0,display_stand,headphones","eq,2,middle,display_table,room; eq,2,on,television,wall",hard,type_diversity,,FALSE
106,"A furniture showroom with a sofa and coffee table arrangement in one corner, a dining table surrounded by four chairs in the center, and two floor lamps positioned near the walls. A large rug lies under the dining set.","eq,1,sofa; eq,1,coffee_table; eq,1,dining_table; eq,4,dining_chair; eq,2,floor_lamp; eq,1,rug","eq,1,rug,large","eq,1,near,0,sofa,coffee_table; eq,1,surround,0,dining_table,dining_chair:0,dining_chair:1,dining_chair:2,dining_chair:3; eq,1,below,0,dining_table,rug","eq,1,corner,sofa,room; eq,1,middle,dining_table,room; eq,2,near,floor_lamp,wall",hard,type_diversity,,FALSE
107,"A flower shop with three flower buckets on the floor, each holding flowers. A wooden table displays potted plants. A potted bonsai tree sits in one corner, and two Christmas trees stand in another corner.","eq,3,flower_bucket; ge,6,flower; eq,1,table; ge,2,potted_plant; eq,1,bonsai_tree; eq,2,christmas_tree","eq,1,table,wooden","ge,6,within,0,flower_bucket,flower; ge,2,on,0,table,potted_plant","eq,1,corner,bonsai_tree,room; eq,2,corner,christmas_tree,room",easy,type_diversity,,FALSE
108,"A hotel lobby with a reception desk in the back of the room. A seating area in the center features two sofas facing each other with a coffee table between them. A luggage cart stands near the entrance, and a large chandelier hangs from the ceiling.","eq,1,reception_desk; eq,2,sofa; eq,1,coffee_table; eq,1,luggage_cart; eq,1,chandelier","eq,1,chandelier,large","eq,1,face,0,sofa,sofa; eq,1,between,0,coffee_table,sofa:0,sofa:1","eq,1,middle,coffee_table,room; eq,1,near,luggage_cart,door; eq,1,hang,chandelier,ceiling",hard,type_diversity,,FALSE
109,"A hotel room with a queen bed flanked by two nightstands, a desk with a chair, and a luggage rack in the corner.","eq,1,bed; eq,2,nightstand; eq,1,desk; ge,1,chair; eq,1,luggage_rack","eq,1,bed,queen","ge,1,left,0,bed,nightstand; ge,1,right,0,bed,nightstand; ge,1,near,0,desk,chair","eq,1,corner,luggage_rack,room",easy,type_diversity,,FALSE
110,"A restaurant with four dining tables, each surrounded by four chairs. A bar counter runs along one wall with six bar stools in front. Two potted plants flank the entrance, and pendant lights hang above each table.","eq,4,dining_table; eq,16,chair; eq,1,bar_counter; eq,6,bar_stool; eq,2,potted_plant; eq,4,pendant_light",,"ge,1,surround,0,dining_table,chair:0,chair:1,chair:2,chair:3; ge,16,near,0,dining_table,chair; ge,6,front,0,bar_counter,bar_stool; ge,4,above,0,dining_table,pendant_light","eq,1,against,bar_counter,wall; eq,2,near,potted_plant,door",hard,type_diversity,,FALSE
111,"A cafe with a bar counter along one wall featuring a coffee machine, a filter coffee stand, and stacks of stone coffee cups. Three small round tables with two chairs each are arranged in the center. A chalkboard menu hangs on the wall behind the counter.","eq,1,bar_counter; eq,1,coffee_machine; eq,1,filter_coffee_stand; ge,4,coffee_cup; eq,3,table; eq,6,chair; eq,1,chalkboard","eq,3,table,small; eq,3,table,round; ge,4,coffee_cup,stone","eq,1,on,0,bar_counter,coffee_machine; eq,1,on,0,bar_counter,filter_coffee_stand; ge,4,on,0,bar_counter,coffee_cup; ge,6,near,0,table,chair","eq,1,on,chalkboard,wall",hard,type_diversity,,FALSE
112,A bar with a long wooden bar counter and five bar stools. Shelves behind the counter display bottles. Two high tables with two stools each are near the window.,"eq,1,bar_counter; eq,5,bar_stool; ge,2,shelf; ge,2,bottle; eq,2,table; eq,4,stool","eq,1,bar_counter,long; eq,1,bar_counter,wooden; eq,2,table,high","ge,5,near,0,bar_counter,bar_stool; ge,2,on,0,shelf,bottle; ge,4,near,0,table,stool","eq,2,near,table,window",medium,type_diversity,,FALSE
113,"A diner with three booth tables against the wall, a jukebox in the corner, and a hostess stand near the entrance.","eq,3,booth_table; eq,1,jukebox; eq,1,hostess_stand",,,"ge,3,against,booth_table,wall; eq,1,corner,jukebox,room; eq,1,near,hostess_stand,door",easy,type_diversity,,FALSE
114,"A private office with a desk and office chair, a shelf with books against the wall, and two guest chairs facing the desk.","eq,1,desk; eq,1,office_chair; eq,1,shelf; ge,2,book; eq,2,guest_chair",,"ge,2,on,0,shelf,book; ge,2,face,0,desk,guest_chair","eq,1,against,shelf,wall",easy,type_diversity,,FALSE
115,An open office with four desks arranged in pairs facing each other. Each desk has a monitor and an office chair. A water cooler stands in the corner.,"eq,4,desk; eq,4,monitor; eq,4,office_chair; eq,1,water_cooler",,"eq,4,on,0,desk,monitor; ge,4,near,0,desk,office_chair","eq,1,corner,water_cooler,room",medium,type_diversity,,FALSE
116,"A conference room with a long table surrounded by eight chairs. A projector screen hangs on the wall, and a whiteboard is mounted on another wall.","eq,1,table; eq,8,chair; eq,1,projector_screen; eq,1,whiteboard","eq,1,table,long","ge,1,surround,0,table,chair:0,chair:1,chair:2,chair:3,chair:4,chair:5,chair:6,chair:7","eq,1,on,projector_screen,wall; eq,1,on,whiteboard,wall",medium,type_diversity,,FALSE
117,"A reception area with a reception desk, at least three waiting chairs, and a potted plant in the corner.","eq,1,reception_desk; ge,3,waiting_chair; eq,1,potted_plant",,,"eq,1,corner,potted_plant,room",easy,type_diversity,,FALSE
118,"A classroom with six student desks, each with a chair. A teacher's desk sits at the front near the chalkboard, which hangs on the wall.","eq,7,desk; ge,6,chair; eq,1,chalkboard",,"ge,6,near,0,desk,chair; ge,1,near,0,desk,chalkboard","eq,1,on,chalkboard,wall",medium,type_diversity,,FALSE
119,"A library with shelves containing books, reading tables with chairs, and a commercial printer.","ge,2,shelf; ge,4,book; ge,2,table; ge,2,chair; eq,1,commercial_printer",,"ge,4,on,0,shelf,book; ge,2,near,0,table,chair","ge,2,against,shelf,wall",easy,type_diversity,,FALSE
